2011 (84th),DOCUMENTARY (Feature),Hell and Back Again -- Danfung Dennis and Mike Lerner,No,,
2011 (84th),DOCUMENTARY (Feature),If a Tree Falls: A Story of the Earth Liberation Front -- Marshall Curry and Sam Cullman,No,,
2011 (84th),DOCUMENTARY (Feature),Paradise Lost 3: Purgatory -- Joe Berlinger and Bruce Sinofsky,No,,
2011 (84th),DOCUMENTARY (Feature),Pina -- Wim Wenders and Gian-Piero Ringel,No,,
2011 (84th),DOCUMENTARY (Feature),"Undefeated -- TJ Martin, Dan Lindsay and Rich Middlemas",Yes,,
2011 (84th),DOCUMENTARY (Short Subject),God Is the Bigger Elvis -- Rebecca Cammisa and Julie Anderson,No,,
2011 (84th),DOCUMENTARY (Short Subject),Incident in New Baghdad -- James Spione,No,,
2011 (84th),DOCUMENTARY (Short Subject),Saving Face -- Daniel Junge and Sharmeen Obaid-Chinoy,Yes,,
2011 (84th),DOCUMENTARY (Short Subject),The Barber of Birmingham: Foot Soldier of the Civil Rights Movement -- Robin Fryday and Gail Dolgin,No,,
2011 (84th),DOCUMENTARY (Short Subject),The Tsunami and the Cherry Blossom -- Lucy Walker and Kira Carstensen,No,,
2011 (84th),FILM EDITING,Hugo -- Thelma Schoonmaker,No,,
2011 (84th),FILM EDITING,Moneyball -- Christopher Tellefsen,No,,
2011 (84th),FILM EDITING,The Artist -- Anne-Sophie Bion and Michel Hazanavicius,No,,
2011 (84th),FILM EDITING,The Descendants -- Kevin Tent,No,,
2011 (84th),FILM EDITING,The Girl with the Dragon Tattoo -- Kirk Baxter and Angus Wall,Yes,,
2011 (84th),FOREIGN LANGUAGE FILM,A Separation -- Iran,Yes,,
2011 (84th),FOREIGN LANGUAGE FILM,Bullhead -- Belgium,No,,
2011 (84th),FOREIGN LANGUAGE FILM,Footnote -- Israel,No,,
2011 (84th),FOREIGN LANGUAGE FILM,In Darkness -- Poland,No,,
2011 (84th),FOREIGN LANGUAGE FILM,Monsieur Lazhar -- Canada,No,,
2011 (84th),GORDON E. SAWYER AWARD,Douglas Trumbull,Yes,,
2011 (84th),HONORARY AWARD,"To Dick Smith for his unparalleled mastery of texture, shade, form and illusion.",Yes,,
2011 (84th),HONORARY AWARD,To James Earl Jones for his legacy of consistent excellence and uncommon versatility.,Yes,,
2011 (84th),JEAN HERSHOLT HUMANITARIAN AWARD,Oprah Winfrey,Yes,,
2011 (84th),JOHN A. BONNER MEDAL OF COMMENDATION,To Jonathan Erland in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,Yes,,
2011 (84th),MAKEUP,"Albert Nobbs -- Martial Corneville, Lynn Johnston and Matthew W. Mungle",No,,
2011 (84th),MAKEUP,"Harry Potter and the Deathly Hallows Part 2 -- Nick Dudman, Amanda Knight and Lisa Tomblin",No,,
2011 (84th),MAKEUP,The Iron Lady -- Mark Coulier and J. Roy Helland,Yes,,
2011 (84th),MUSIC (Original Score),Hugo -- Howard Shore,No,,
2011 (84th),MUSIC (Original Score),The Adventures of Tintin -- John Williams,No,,
2011 (84th),MUSIC (Original Score),The Artist -- Ludovic Bource,Yes,,
2011 (84th),MUSIC (Original Score),Tinker Tailor Soldier Spy -- Alberto Iglesias,No,,
2011 (84th),MUSIC (Original Score),War Horse -- John Williams,No,,
2011 (84th),MUSIC (Original Song),Man Or Muppet from The Muppets -- Music and Lyric by Bret McKenzie,Yes,,
2011 (84th),MUSIC (Original Song),Real In Rio from Rio -- Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett,No,,
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),"To FRANZ KRAUS, JOHANNES STEURER and WOLFGANG RIEDEL for the design and development of the ARRILASER Film Recorder. The ARRILASER film recorder demonstrates a high level of engineering resulting in a compact, user-friendly, low-maintenance device, while at the same time maintaining outstanding speed, exposure ratings and image quality. [Special Photographic]",Yes,,
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To DR. JÜRGEN NOFFKE for the optical design and UWE WEBER for the mechanical design of the ARRI Zeiss Master Prime Lenses for motion picture photography. The Master Primes have achieved a full stop advance in speed over existing lenses, while maintaining state-of-the-art optical quality. This lens family was also the first to eliminate the magnification change that accompanied extreme focus shifts. [Lenses and Filters]",Yes,,
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To E.F. ""BOB"" NETTMANN for the concept and system architecture, MICHAEL SAYOVITZ for the electronic packaging and integration, BRAD FRITZEL for the electronic engineering, and FRED MILLER for the mechanical engineering of the Stab-C Classic, Super-G and Stab-C Compact stabilizing heads. This versatile family of 5-axis camera and lens stabilizers allows any standard motion picture camera to be fitted into the open architecture of the structure. The system can be quickly balanced and made ready for shooting platforms such as helicopters, boats, camera cars or cranes. [Camera Cranes]",Yes,,
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To FUJIFILM CORPORATION, HIDEYUKI SHIRAI, DR. KATSUHISA OOZEKI and HIROSHI HIRANO for the design and development of the FUJIFILM black and white recording film ETERNA-RDS 4791 for use in the archival preservation of film and digital images. Specifically designed for laser film recording and widely used in the industry today, the high-resolution FUJIFILM ETERNA-RDS 4791 film stock is an important step in protecting the heritage of the motion picture industry. [Film]",Yes,,
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To JOHN D. LOWRY, IAN CAVÉN, IAN GODIN, KIMBALL THURSTON and TIM CONNOLLY for the development of a unique and efficient system for the reduction of noise and other artifacts, thereby providing high-quality images required by the filmmaking process. The ""Lowry Process"" uses advanced GPU-accelerated, motion estimation-based image processing tools to enhance image quality. [Laboratory]",Yes,,
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To MICHAEL LEWIS, GREG MARSDEN, RAIGO ALAS and MICHAEL VELLEKOOP for the concept, design and implementation of the Pictorvision Eclipse, an electronically stabilized aerial camera platform. The Pictorvision Eclipse system allows cinematographers to capture aerial footage at faster flying speeds with aggressive platform maneuvering. [Camera Cranes]",Yes,,
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To RADU CORLAN, ANDY JANTZEN, PETRU POP and RICHARD F. TOFTNESS for the design and engineering of the Phantom family of high-speed cameras for motion picture production. The Phantom family of high-speed digital cameras, including the Phantom Flex and HD Gold, provide imagery at speeds and efficacy surpassing photochemical technology, while seamlessly intercutting with conventional film production. [Camera]",Yes,,
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),"To ANDREW CLINTON and MARK ELENDT for the invention and integration of micro-voxels in the Mantra software. This work allowed, for the first time, unified and efficient rendering of volumetric effects such as smoke and clouds, together with other computer graphics objects, in a micro-polygon imaging pipeline. [Digital Imaging Technology]",Yes,,
2011 (84th),SHORT FILM (Animated),A Morning Stroll -- Grant Orchard and Sue Goffe,No,,
2011 (84th),SHORT FILM (Animated),Dimanche/Sunday -- Patrick Doyon,No,,
2011 (84th),SHORT FILM (Animated),La Luna -- Enrico Casarosa,No,,
2011 (84th),SHORT FILM (Animated),The Fantastic Flying Books of Mr. Morris Lessmore -- William Joyce and Brandon Oldenburg,Yes,,
2011 (84th),SHORT FILM (Animated),Wild Life -- Amanda Forbis and Wendy Tilby,No,,
2011 (84th),SHORT FILM (Live Action),Pentecost -- Peter McDonald and Eimear O'Kane,No,,
2011 (84th),SHORT FILM (Live Action),Raju -- Max Zähle and Stefan Gieren,No,,
2011 (84th),SHORT FILM (Live Action),The Shore -- Terry George and Oorlagh George,Yes,,
2011 (84th),SHORT FILM (Live Action),Time Freak -- Andrew Bowler and Gigi Causey,No,,
2011 (84th),SHORT FILM (Live Action),Tuba Atlantic -- Hallvar Witzø,No,,
2011 (84th),SOUND EDITING,Drive -- Lon Bender and Victor Ray Ennis,No,,
2011 (84th),SOUND EDITING,Hugo -- Philip Stockton and Eugene Gearty,Yes,,
2011 (84th),SOUND EDITING,The Girl with the Dragon Tattoo -- Ren Klyce,No,,
2011 (84th),SOUND EDITING,Transformers: Dark of the Moon -- Ethan Van der Ryn and Erik Aadahl,No,,
2011 (84th),SOUND EDITING,War Horse -- Richard Hymns and Gary Rydstrom,No,,
2011 (84th),SOUND MIXING,Hugo -- Tom Fleischman and John Midgley,Yes,,
2011 (84th),SOUND MIXING,"Moneyball -- Deb Adair, Ron Bochar, David Giammarco and Ed Novick",No,,
2011 (84th),SOUND MIXING,"The Girl with the Dragon Tattoo -- David Parker, Michael Semanick, Ren Klyce and Bo Persson",No,,
2011 (84th),SOUND MIXING,"Transformers: Dark of the Moon -- Greg P. Russell, Gary Summers, Jeffrey J. Haboush and Peter J. Devlin",No,,
2011 (84th),SOUND MIXING,"War Horse -- Gary Rydstrom, Andy Nelson, Tom Johnson and Stuart Wilson",No,,
2011 (84th),VISUAL EFFECTS,"Harry Potter and the Deathly Hallows Part 2 -- Tim Burke, David Vickery, Greg Butler and John Richardson",No,,
2011 (84th),VISUAL EFFECTS,"Hugo -- Rob Legato, Joss Williams, Ben Grossmann and Alex Henning",Yes,,
2011 (84th),VISUAL EFFECTS,"Real Steel -- Erik Nash, John Rosengrant, Dan Taylor and Swen Gillberg",No,,
2011 (84th),VISUAL EFFECTS,"Rise of the Planet of the Apes -- Joe Letteri, Dan Lemmon, R. Christopher White and Daniel Barrett",No,,
2011 (84th),VISUAL EFFECTS,"Transformers: Dark of the Moon -- Scott Farrar, Scott Benza, Matthew Butler and John Frazier",No,,
2011 (84th),WRITING (Adapted Screenplay),Hugo -- Screenplay by John Logan,No,,
2011 (84th),WRITING (Adapted Screenplay),Moneyball -- Screenplay by Steven Zaillian and Aaron Sorkin; Story by Stan Chervin,No,,
2011 (84th),WRITING (Adapted Screenplay),The Descendants -- Screenplay by Alexander Payne and Nat Faxon & Jim Rash,Yes,,
2011 (84th),WRITING (Adapted Screenplay),The Ides of March -- Screenplay by George Clooney & Grant Heslov and Beau Willimon,No,,
2011 (84th),WRITING (Adapted Screenplay),Tinker Tailor Soldier Spy -- Screenplay by Bridget O'Connor & Peter Straughan,No,,
2011 (84th),WRITING (Original Screenplay),A Separation -- Written by Asghar Farhadi,No,,
2011 (84th),WRITING (Original Screenplay),Bridesmaids -- Written by Annie Mumolo & Kristen Wiig,No,,
2011 (84th),WRITING (Original Screenplay),Margin Call -- Written by J.C. Chandor,No,,
2011 (84th),WRITING (Original Screenplay),Midnight in Paris -- Written by Woody Allen,Yes,,
2011 (84th),WRITING (Original Screenplay),The Artist -- Written by Michel Hazanavicius,No,,
2012 (85th),ACTOR IN A LEADING ROLE,"Bradley Cooper -- Silver Linings Playbook {""Pat""}",No,,
2012 (85th),ACTOR IN A LEADING ROLE,"Daniel Day-Lewis -- Lincoln {""Abraham Lincoln""}",Yes,,
2012 (85th),ACTOR IN A LEADING ROLE,"Denzel Washington -- Flight {""Whip Whitaker""}",No,,
2012 (85th),ACTOR IN A LEADING ROLE,"Hugh Jackman -- Les Misérables {""Jean Valjean""}",No,,
2012 (85th),ACTOR IN A LEADING ROLE,"Joaquin Phoenix -- The Master {""Freddie Quell""}",No,,
2012 (85th),ACTOR IN A SUPPORTING ROLE,"Alan Arkin -- Argo {""Lester Siegel""}",No,,
2012 (85th),ACTOR IN A SUPPORTING ROLE,"Christoph Waltz -- Django Unchained {""Dr. King Schultz""}",Yes,,
2012 (85th),ACTOR IN A SUPPORTING ROLE,"Philip Seymour Hoffman -- The Master {""Lancaster Dodd""}",No,,
2012 (85th),ACTOR IN A SUPPORTING ROLE,"Robert De Niro -- Silver Linings Playbook {""Pat Sr.""}",No,,
2012 (85th),ACTOR IN A SUPPORTING ROLE,"Tommy Lee Jones -- Lincoln {""Thaddeus Stevens""}",No,,
