"","Year","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"35",1968,"Oliver!","Bullitt","Oliver! "," Charly "," The Subject Was Roses "," The Lion in Winter "," Rosemary's Baby ","Oliver! "," The Thomas Crown Affair "
"36",1969,"Midnight Cowboy","Z","Midnight Cowboy "," True Grit "," They Shoot Horses, Don't They? "," The Prime of Miss Jean Brodie "," Cactus Flower ","Hello, Dolly! "," Butch Cassidy and the Sundance Kid "
"37",1970,"Patton","Patton","Patton "," Patton "," Ryan's Daughter "," Women in Love "," Airport ","Patton "," Lovers and Other Strangers "
"38",1971,"The French Connection","The French Connection","The French Connection "," The French Connection "," The Last Picture Show "," Klute "," The Last Picture Show ","Fiddler on the Roof "," Shaft "
"39",1972,"The Godfather","Cabaret","Cabaret "," The Godfather "," Cabaret "," Cabaret "," Butterflies Are Free ","Cabaret "," The Poseidon Adventure "
"40",1973,"The Sting","The Sting","The Sting "," Save the Tiger "," The Paper Chase "," A Touch of Class "," Paper Moon ","The Exorcist "," The Way We Were "
"41",1974,"The Godfather Part II","The Towering Inferno","The Godfather Part II "," Harry and Tonto "," The Godfather Part II "," Alice Doesn't Live Here Anymore "," Murder on the Orient Express ","Earthquake "," The Towering Inferno "
"42",1975,"One Flew over the Cuckoo's Nest","Jaws","One Flew over the Cuckoo's Nest "," One Flew over the Cuckoo's Nest "," The Sunshine Boys "," One Flew over the Cuckoo's Nest "," Shampoo ","Jaws "," Nashville "
"43",1976,"Rocky","Rocky","Rocky "," Network "," All the President's Men "," Network "," Network ","All the President's Men "," A Star Is Born "
"44",1977,"Annie Hall","Star Wars","Annie Hall "," The Goodbye Girl "," Julia "," Annie Hall "," Julia ","Star Wars "," You Light Up My Life "
"45",1978,"The Deer Hunter","The Deer Hunter","The Deer Hunter "," Coming Home "," The Deer Hunter "," Coming Home "," California Suite ","The Deer Hunter "," Thank God It's Friday "
"46",1979,"Kramer vs. Kramer","All That Jazz","Kramer vs. Kramer "," Kramer vs. Kramer "," Being There "," Norma Rae "," Kramer vs. Kramer ","Apocalypse Now "," Norma Rae "
"47",1980,"Ordinary People","Raging Bull","Ordinary People "," Raging Bull "," Ordinary People "," Coal Miner's Daughter "," Melvin and Howard ","The Empire Strikes Back "," Fame "
"48",1981,"Chariots of Fire","Raiders of the Lost Ark","Reds "," On Golden Pond "," Arthur "," On Golden Pond "," Reds ","Raiders of the Lost Ark "," Arthur "
"49",1982,"Gandhi","Gandhi","Gandhi "," Gandhi "," An Officer and a Gentleman "," Sophie's Choice "," Tootsie ","E.T. The Extra-Terrestrial "," An Officer and a Gentleman "
"50",1983,"Terms of Endearment","The Right Stuff","Terms of Endearment "," Tender Mercies "," Terms of Endearment "," Terms of Endearment "," The Year of Living Dangerously ","The Right Stuff "," Flashdance "
"51",1984,"Amadeus","The Killing Fields","Amadeus "," Amadeus "," The Killing Fields "," Places in the Heart "," A Passage to India ","Amadeus "," The Woman in Red "
"52",1985,"Out of Africa","Witness","Out of Africa "," Kiss of the Spider Woman "," Cocoon "," The Trip to Bountiful "," Prizzi's Honor ","Out of Africa "," White Nights "
"53",1986,"Platoon","Platoon","Platoon "," The Color of Money "," Hannah and Her Sisters "," Children of a Lesser God "," Hannah and Her Sisters ","Platoon "," Top Gun "
"54",1987,"The Last Emperor","The Last Emperor","The Last Emperor "," Wall Street "," The Untouchables "," Moonstruck "," Moonstruck ","The Last Emperor "," Dirty Dancing "
"55",1988,"Rain Man","Who Framed Roger Rabbit","Rain Man "," Rain Man "," A Fish Called Wanda "," The Accused "," The Accidental Tourist ","Bird "," Working Girl "
"56",1989,"Driving Miss Daisy","Born on the Fourth of July","Born on the Fourth of July "," My Left Foot "," Glory "," Driving Miss Daisy "," My Left Foot ","Glory "," The Little Mermaid "
"57",1990,"Dances With Wolves","Dances With Wolves","Dances With Wolves "," Reversal of Fortune "," Good Fellas "," Misery "," Ghost ","Dances With Wolves "," Dick Tracy "
"58",1991,"The Silence of the Lambs","JFK","The Silence of the Lambs "," The Silence of the Lambs "," City Slickers "," The Silence of the Lambs "," The Fisher King ","Terminator 2: Judgment Day "," Beauty and the Beast "
"59",1992,"Unforgiven","Unforgiven","Unforgiven "," Scent of a Woman "," Unforgiven "," Howards End "," My Cousin Vinny ","The Last of the Mohicans "," Aladdin "
"60",1993,"Schindler's List","Schindler's List","Schindler's List "," Philadelphia "," The Fugitive "," The Piano "," The Piano ","Jurassic Park "," Philadelphia "
