"","Year","Nominee","actor in a leading role","actor in a supporting role","actress in a leading role","actress in a supporting role","art direction","best picture","cinematography","costume design","directing","film editing","makeup","music (score)","music (song)","sound editing","sound mixing","visual effects","writing","writing (adapted screenplay)","writing (original screenplay)"
"58","1936","Banjo on My Knee","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"59","1936","Born to Dance","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60","1936","Come and Get It","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"61","1936","Dodsworth","2","0","0","2","1","2","0","0","2","0","0","0","0","0","2","0","2","0","0"
"62","1936","Fury","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"63","1936","General Spanky","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"64","1936","Libeled Lady","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","1936","Lloyds of London","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"66","1936","Mr. Deeds Goes to Town","2","0","0","0","0","2","0","0","1","0","0","0","0","0","2","0","2","0","0"
"67","1936","My Man Godfrey","2","2","2","2","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0"
"68","1936","Pennies from Heaven","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"69","1936","Pigskin Parade","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","1936","Romeo and Juliet","0","2","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","1936","San Francisco","2","0","0","0","0","2","0","0","2","0","0","0","0","0","1","0","2","0","0"
"72","1936","Sing, Baby, Sing","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"73","1936","Suzy","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"74","1936","Swing Time","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"75","1936","That Girl from Paris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"76","1936","The Charge of the Light Brigade","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0"
"77","1936","The Garden of Allah","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"78","1936","The General Died at Dawn","0","2","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0"
"79","1936","The Gorgeous Hussy","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"80","1936","The Great Ziegfeld","0","0","1","0","2","1","0","0","2","2","0","0","0","0","0","0","2","0","0"
