"","Year","Award","Winner","Nominee"
"1","2010 ","Actor -- Leading Role","NO","Biutiful "
"2","2010 ","Actor -- Leading Role","NO","True Grit "
"3","2010 ","Actor -- Leading Role","NO","The Social Network "
"4","2010 ","Actor -- Leading Role","YES","The King's Speech "
"5","2010 ","Actor -- Leading Role","NO","127 Hours "
"6","2010 ","Actor -- Supporting Role","YES","The Fighter "
"7","2010 ","Actor -- Supporting Role","NO","Winter's Bone "
"8","2010 ","Actor -- Supporting Role","NO","The Town "
"9","2010 ","Actor -- Supporting Role","NO","The Kids Are All Right "
"10","2010 ","Actor -- Supporting Role","NO","The King's Speech "
"11","2010 ","Actress -- Leading Role","NO","The Kids Are All Right "
"12","2010 ","Actress -- Leading Role","NO","Rabbit Hole "
"13","2010 ","Actress -- Leading Role","NO","Winter's Bone "
"14","2010 ","Actress -- Leading Role","YES","Black Swan "
"15","2010 ","Actress -- Leading Role","NO","Blue Valentine "
"16","2010 ","Actress -- Supporting Role","NO","The Fighter "
"17","2010 ","Actress -- Supporting Role","NO","The King's Speech "
"18","2010 ","Actress -- Supporting Role","YES","The Fighter "
"19","2010 ","Actress -- Supporting Role","NO","True Grit "
"20","2010 ","Actress -- Supporting Role","NO","Animal Kingdom "
"24","2010 ","Art Direction","YES","Alice in Wonderland"
"25","2010 ","Art Direction","NO","Harry Potter and the Deathly Hallows Part 1"
"26","2010 ","Art Direction","NO","Inception"
"27","2010 ","Art Direction","NO","The King's Speech"
"28","2010 ","Art Direction","NO","True Grit"
"29","2010 ","Cinematography","NO","Black Swan"
"30","2010 ","Cinematography","YES","Inception"
"31","2010 ","Cinematography","NO","The King's Speech"
"32","2010 ","Cinematography","NO","The Social Network"
"33","2010 ","Cinematography","NO","True Grit"
"34","2010 ","Costume Design","YES","Alice in Wonderland"
"35","2010 ","Costume Design","NO","I Am Love"
"36","2010 ","Costume Design","NO","The King's Speech"
"37","2010 ","Costume Design","NO","The Tempest"
"38","2010 ","Costume Design","NO","True Grit"
"39","2010 ","Directing","NO","Black Swan"
"40","2010 ","Directing","NO","The Fighter"
"41","2010 ","Directing","YES","The King's Speech"
"42","2010 ","Directing","NO","The Social Network"
"43","2010 ","Directing","NO","True Grit"
"54","2010 ","Film Editing","NO","Black Swan"
"55","2010 ","Film Editing","NO","The Fighter"
"56","2010 ","Film Editing","NO","The King's Speech"
"57","2010 ","Film Editing","NO","127 Hours"
"58","2010 ","Film Editing","YES","The Social Network"
"64","2010 ","Makeup","NO","Barney's Version"
"65","2010 ","Makeup","NO","The Way Back"
"66","2010 ","Makeup","YES","The Wolfman"
"67","2010 ","Music (Scoring)","NO","How to Train Your Dragon"
"68","2010 ","Music (Scoring)","NO","Inception"
"69","2010 ","Music (Scoring)","NO","The King's Speech"
"70","2010 ","Music (Scoring)","NO","127 Hours"
"71","2010 ","Music (Scoring)","YES","The Social Network"
"72","2010 ","Music (Song)","NO","Country Strong"
"73","2010 ","Music (Song)","NO","Tangled"
"74","2010 ","Music (Song)","NO","127 Hours"
"75","2010 ","Music (Song)","YES","Toy Story 3"
"76","2010 ","Best Picture","NO","Black Swan"
"77","2010 ","Best Picture","NO","The Fighter"
"78","2010 ","Best Picture","NO","Inception"
"79","2010 ","Best Picture","NO","The Kids Are All Right"
"80","2010 ","Best Picture","YES","The King's Speech"
"81","2010 ","Best Picture","NO","127 Hours"
"82","2010 ","Best Picture","NO","The Social Network"
"83","2010 ","Best Picture","NO","Toy Story 3"
"84","2010 ","Best Picture","NO","True Grit"
"85","2010 ","Best Picture","NO","Winter's Bone"
"96","2010 ","Sound","YES","Inception"
"97","2010 ","Sound","NO","The King's Speech"
"98","2010 ","Sound","NO","Salt"
"99","2010 ","Sound","NO","The Social Network"
"100","2010 ","Sound","NO","True Grit"
"101","2010 ","Sound Editing","YES","Inception"
"102","2010 ","Sound Editing","NO","Toy Story 3"
"103","2010 ","Sound Editing","NO","Tron: Legacy"
"104","2010 ","Sound Editing","NO","True Grit"
"105","2010 ","Sound Editing","NO","Unstoppable"
"106","2010 ","Visual Effects","NO","Alice in Wonderland"
"107","2010 ","Visual Effects","NO","Harry Potter and the Deathly Hallows Part 1"
"108","2010 ","Visual Effects","NO","Hereafter"
"109","2010 ","Visual Effects","YES","Inception"
"110","2010 ","Visual Effects","NO","Iron Man 2"
"111","2010 ","Writing","NO","127 Hours"
"112","2010 ","Writing","YES","The Social Network"
"113","2010 ","Writing","NO","Toy Story 3"
"114","2010 ","Writing","NO","True Grit"
"115","2010 ","Writing","NO","Winter's Bone"
"116","2010 ","Writing","NO","Another Year"
"117","2010 ","Writing","NO","The Fighter"
"118","2010 ","Writing","NO","Inception"
"119","2010 ","Writing","NO","The Kids Are All Right"
"120","2010 ","Writing","YES","The King's Speech"
"136","2009 ","Actor -- Leading Role","YES","Crazy Heart "
"137","2009 ","Actor -- Leading Role","NO","Up in the Air "
"138","2009 ","Actor -- Leading Role","NO","A Single Man "
"139","2009 ","Actor -- Leading Role","NO","Invictus "
"140","2009 ","Actor -- Leading Role","NO","The Hurt Locker "
"141","2009 ","Actor -- Supporting Role","NO","Invictus "
"142","2009 ","Actor -- Supporting Role","NO","The Messenger "
"143","2009 ","Actor -- Supporting Role","NO","The Last Station "
"144","2009 ","Actor -- Supporting Role","NO","The Lovely Bones "
"145","2009 ","Actor -- Supporting Role","YES","Inglourious Basterds "
"146","2009 ","Actress -- Leading Role","YES","The Blind Side "
"147","2009 ","Actress -- Leading Role","NO","The Last Station "
"148","2009 ","Actress -- Leading Role","NO","An Education "
"149","2009 ","Actress -- Leading Role","NO","Precious: Based on the Novel 'Push' by Sapphire "
"150","2009 ","Actress -- Leading Role","NO","Julie & Julia "
"151","2009 ","Actress -- Supporting Role","NO","Nine "
"152","2009 ","Actress -- Supporting Role","NO","Up in the Air "
"153","2009 ","Actress -- Supporting Role","NO","Crazy Heart "
"154","2009 ","Actress -- Supporting Role","NO","Up in the Air "
"155","2009 ","Actress -- Supporting Role","YES","Precious: Based on the Novel 'Push' by Sapphire "
"161","2009 ","Art Direction","YES","Avatar"
"162","2009 ","Art Direction","NO","The Imaginarium of Doctor Parnassus"
"163","2009 ","Art Direction","NO","Nine"
"164","2009 ","Art Direction","NO","Sherlock Holmes"
"165","2009 ","Art Direction","NO","The Young Victoria"
"166","2009 ","Cinematography","YES","Avatar"
"167","2009 ","Cinematography","NO","Harry Potter and the Half-Blood Prince"
"168","2009 ","Cinematography","NO","The Hurt Locker"
"169","2009 ","Cinematography","NO","Inglourious Basterds"
"170","2009 ","Cinematography","NO","The White Ribbon"
"171","2009 ","Costume Design","NO","Bright Star"
"172","2009 ","Costume Design","NO","Coco before Chanel"
"173","2009 ","Costume Design","NO","The Imaginarium of Doctor Parnassus"
"174","2009 ","Costume Design","NO","Nine"
"175","2009 ","Costume Design","YES","The Young Victoria"
"176","2009 ","Directing","NO","Avatar"
"177","2009 ","Directing","YES","The Hurt Locker"
"178","2009 ","Directing","NO","Inglourious Basterds"
"179","2009 ","Directing","NO","Precious: Based on the Novel 'Push' by Sapphire"
"180","2009 ","Directing","NO","Up in the Air"
"191","2009 ","Film Editing","NO","Avatar"
"192","2009 ","Film Editing","NO","District 9"
"193","2009 ","Film Editing","YES","The Hurt Locker"
"194","2009 ","Film Editing","NO","Inglourious Basterds"
"195","2009 ","Film Editing","NO","Precious: Based on the Novel 'Push' by Sapphire"
"201","2009 ","Makeup","NO","Il Divo"
"202","2009 ","Makeup","YES","Star Trek"
"203","2009 ","Makeup","NO","The Young Victoria"
"204","2009 ","Music (Scoring)","NO","Avatar"
"205","2009 ","Music (Scoring)","NO","Fantastic Mr. Fox"
"206","2009 ","Music (Scoring)","NO","The Hurt Locker"
"207","2009 ","Music (Scoring)","NO","Sherlock Holmes"
"208","2009 ","Music (Scoring)","YES","Up"
"209","2009 ","Music (Song)","NO","The Princess and the Frog"
"210","2009 ","Music (Song)","NO","The Princess and the Frog"
"211","2009 ","Music (Song)","NO","Paris 36"
"212","2009 ","Music (Song)","NO","Nine"
"213","2009 ","Music (Song)","YES","Crazy Heart"
"214","2009 ","Best Picture","NO","Avatar"
"215","2009 ","Best Picture","NO","The Blind Side"
"216","2009 ","Best Picture","NO","District 9"
"217","2009 ","Best Picture","NO","An Education"
"218","2009 ","Best Picture","YES","The Hurt Locker"
"219","2009 ","Best Picture","NO","Inglourious Basterds"
"220","2009 ","Best Picture","NO","Precious: Based on the Novel 'Push' by Sapphire"
"221","2009 ","Best Picture","NO","A Serious Man"
"222","2009 ","Best Picture","NO","Up"
"223","2009 ","Best Picture","NO","Up in the Air"
"234","2009 ","Sound","NO","Avatar"
"235","2009 ","Sound","YES","The Hurt Locker"
"236","2009 ","Sound","NO","Inglourious Basterds"
"237","2009 ","Sound","NO","Star Trek"
"238","2009 ","Sound","NO","Transformers: Revenge of the Fallen"
"239","2009 ","Sound Editing","NO","Avatar"
"240","2009 ","Sound Editing","YES","The Hurt Locker"
"241","2009 ","Sound Editing","NO","Inglourious Basterds"
"242","2009 ","Sound Editing","NO","Star Trek"
"243","2009 ","Sound Editing","NO","Up"
"244","2009 ","Visual Effects","YES","Avatar"
"245","2009 ","Visual Effects","NO","District 9"
"246","2009 ","Visual Effects","NO","Star Trek"
"247","2009 ","Writing","NO","District 9"
"248","2009 ","Writing","NO","An Education"
"249","2009 ","Writing","NO","In the Loop"
"250","2009 ","Writing","YES","Precious: Based on the Novel 'Push' by Sapphire"
"251","2009 ","Writing","NO","Up in the Air"
"252","2009 ","Writing","YES","The Hurt Locker"
"253","2009 ","Writing","NO","Inglourious Basterds"
"254","2009 ","Writing","NO","The Messenger"
"255","2009 ","Writing","NO","A Serious Man"
"256","2009 ","Writing","NO","Up"
"276","2008 ","Actor -- Leading Role","NO","The Visitor "
"277","2008 ","Actor -- Leading Role","NO","Frost/Nixon "
"278","2008 ","Actor -- Leading Role","YES","Milk "
"279","2008 ","Actor -- Leading Role","NO","The Curious Case of Benjamin Button "
"280","2008 ","Actor -- Leading Role","NO","The Wrestler "
"281","2008 ","Actor -- Supporting Role","NO","Milk "
"282","2008 ","Actor -- Supporting Role","NO","Tropic Thunder "
"283","2008 ","Actor -- Supporting Role","NO","Doubt "
"284","2008 ","Actor -- Supporting Role","YES","The Dark Knight "
"285","2008 ","Actor -- Supporting Role","NO","Revolutionary Road "
"286","2008 ","Actress -- Leading Role","NO","Rachel Getting Married "
"287","2008 ","Actress -- Leading Role","NO","Changeling "
"288","2008 ","Actress -- Leading Role","NO","Frozen River "
"289","2008 ","Actress -- Leading Role","NO","Doubt "
"290","2008 ","Actress -- Leading Role","YES","The Reader "
"291","2008 ","Actress -- Supporting Role","NO","Doubt "
"292","2008 ","Actress -- Supporting Role","YES","Vicky Cristina Barcelona "
"293","2008 ","Actress -- Supporting Role","NO","Doubt "
"294","2008 ","Actress -- Supporting Role","NO","The Curious Case of Benjamin Button "
"295","2008 ","Actress -- Supporting Role","NO","The Wrestler "
"299","2008 ","Art Direction","NO","Changeling"
"300","2008 ","Art Direction","YES","The Curious Case of Benjamin Button"
"301","2008 ","Art Direction","NO","The Dark Knight"
"302","2008 ","Art Direction","NO","The Duchess"
"303","2008 ","Art Direction","NO","Revolutionary Road"
"304","2008 ","Cinematography","NO","Changeling"
"305","2008 ","Cinematography","NO","The Curious Case of Benjamin Button"
"306","2008 ","Cinematography","NO","The Dark Knight"
"307","2008 ","Cinematography","NO","The Reader"
"308","2008 ","Cinematography","YES","Slumdog Millionaire"
"309","2008 ","Costume Design","NO","Australia"
"310","2008 ","Costume Design","NO","The Curious Case of Benjamin Button"
"311","2008 ","Costume Design","YES","The Duchess"
"312","2008 ","Costume Design","NO","Milk"
"313","2008 ","Costume Design","NO","Revolutionary Road"
"314","2008 ","Directing","NO","The Curious Case of Benjamin Button"
"315","2008 ","Directing","NO","Frost/Nixon"
"316","2008 ","Directing","NO","Milk"
"317","2008 ","Directing","NO","The Reader"
"318","2008 ","Directing","YES","Slumdog Millionaire"
"328","2008 ","Film Editing","NO","The Curious Case of Benjamin Button"
"329","2008 ","Film Editing","NO","The Dark Knight"
"330","2008 ","Film Editing","NO","Frost/Nixon"
"331","2008 ","Film Editing","NO","Milk"
"332","2008 ","Film Editing","YES","Slumdog Millionaire"
"338","2008 ","Makeup","YES","The Curious Case of Benjamin Button"
"339","2008 ","Makeup","NO","The Dark Knight"
"340","2008 ","Makeup","NO","Hellboy II: The Golden Army"
"341","2008 ","Music (Scoring)","NO","The Curious Case of Benjamin Button"
"342","2008 ","Music (Scoring)","NO","Defiance"
"343","2008 ","Music (Scoring)","NO","Milk"
"344","2008 ","Music (Scoring)","YES","Slumdog Millionaire"
"345","2008 ","Music (Scoring)","NO","WALL-E"
"346","2008 ","Music (Song)","NO","WALL-E"
"347","2008 ","Music (Song)","YES","Slumdog Millionaire"
"348","2008 ","Music (Song)","NO","Slumdog Millionaire"
"349","2008 ","Best Picture","NO","The Curious Case of Benjamin Button"
"350","2008 ","Best Picture","NO","Frost/Nixon"
"351","2008 ","Best Picture","NO","Milk"
"352","2008 ","Best Picture","NO","The Reader"
"353","2008 ","Best Picture","YES","Slumdog Millionaire"
"364","2008 ","Sound","NO","The Curious Case of Benjamin Button"
"365","2008 ","Sound","NO","The Dark Knight"
"366","2008 ","Sound","YES","Slumdog Millionaire"
"367","2008 ","Sound","NO","WALL-E"
"368","2008 ","Sound","NO","Wanted"
"369","2008 ","Sound Editing","YES","The Dark Knight"
"370","2008 ","Sound Editing","NO","Iron Man"
"371","2008 ","Sound Editing","NO","Slumdog Millionaire"
"372","2008 ","Sound Editing","NO","WALL-E"
"373","2008 ","Sound Editing","NO","Wanted"
"374","2008 ","Visual Effects","YES","The Curious Case of Benjamin Button"
"375","2008 ","Visual Effects","NO","The Dark Knight"
"376","2008 ","Visual Effects","NO","Iron Man"
"377","2008 ","Writing","NO","The Curious Case of Benjamin Button"
"378","2008 ","Writing","NO","Doubt"
"379","2008 ","Writing","NO","Frost/Nixon"
"380","2008 ","Writing","NO","The Reader"
"381","2008 ","Writing","YES","Slumdog Millionaire"
"382","2008 ","Writing","NO","Frozen River"
"383","2008 ","Writing","NO","Happy-Go-Lucky"
"384","2008 ","Writing","NO","In Bruges"
"385","2008 ","Writing","YES","Milk"
"386","2008 ","Writing","NO","WALL-E"
"394","2007 ","Actor -- Leading Role","NO","Michael Clayton "
"395","2007 ","Actor -- Leading Role","YES","There Will Be Blood "
"396","2007 ","Actor -- Leading Role","NO","Sweeney Todd The Demon Barber of Fleet Street "
"397","2007 ","Actor -- Leading Role","NO","In the Valley of Elah "
"398","2007 ","Actor -- Leading Role","NO","Eastern Promises "
"399","2007 ","Actor -- Supporting Role","NO","The Assassination of Jesse James by the Coward Robert Ford "
"400","2007 ","Actor -- Supporting Role","YES","No Country for Old Men "
"401","2007 ","Actor -- Supporting Role","NO","Charlie Wilson's War "
"402","2007 ","Actor -- Supporting Role","NO","Into the Wild "
"403","2007 ","Actor -- Supporting Role","NO","Michael Clayton "
"404","2007 ","Actress -- Leading Role","NO","Elizabeth: The Golden Age "
"405","2007 ","Actress -- Leading Role","NO","Away from Her "
"406","2007 ","Actress -- Leading Role","YES","La Vie en Rose "
"407","2007 ","Actress -- Leading Role","NO","The Savages "
"408","2007 ","Actress -- Leading Role","NO","Juno "
"409","2007 ","Actress -- Supporting Role","NO","I'm Not There "
"410","2007 ","Actress -- Supporting Role","NO","American Gangster "
"411","2007 ","Actress -- Supporting Role","NO","Atonement "
"412","2007 ","Actress -- Supporting Role","NO","Gone Baby Gone "
"413","2007 ","Actress -- Supporting Role","YES","Michael Clayton "
"417","2007 ","Art Direction","NO","American Gangster"
"418","2007 ","Art Direction","NO","Atonement"
"419","2007 ","Art Direction","NO","The Golden Compass"
"420","2007 ","Art Direction","YES","Sweeney Todd The Demon Barber of Fleet Street"
"421","2007 ","Art Direction","NO","There Will Be Blood"
"422","2007 ","Cinematography","NO","The Assassination of Jesse James by the Coward Robert Ford"
"423","2007 ","Cinematography","NO","Atonement"
"424","2007 ","Cinematography","NO","The Diving Bell and the Butterfly"
"425","2007 ","Cinematography","NO","No Country for Old Men"
"426","2007 ","Cinematography","YES","There Will Be Blood"
"427","2007 ","Costume Design","NO","Across the Universe"
"428","2007 ","Costume Design","NO","Atonement"
"429","2007 ","Costume Design","YES","Elizabeth: The Golden Age"
"430","2007 ","Costume Design","NO","La Vie en Rose"
"431","2007 ","Costume Design","NO","Sweeney Todd The Demon Barber of Fleet Street"
"432","2007 ","Directing","NO","The Diving Bell and the Butterfly"
"433","2007 ","Directing","NO","Juno"
"434","2007 ","Directing","NO","Michael Clayton"
"435","2007 ","Directing","YES","No Country for Old Men"
"436","2007 ","Directing","NO","There Will Be Blood"
"446","2007 ","Film Editing","YES","The Bourne Ultimatum"
"447","2007 ","Film Editing","NO","The Diving Bell and the Butterfly"
"448","2007 ","Film Editing","NO","Into the Wild"
"449","2007 ","Film Editing","NO","No Country for Old Men"
"450","2007 ","Film Editing","NO","There Will Be Blood"
"456","2007 ","Makeup","YES","La Vie en Rose"
"457","2007 ","Makeup","NO","Norbit"
"458","2007 ","Makeup","NO","Pirates of the Caribbean: At World's End"
"459","2007 ","Music (Scoring)","YES","Atonement"
"460","2007 ","Music (Scoring)","NO","The Kite Runner"
"461","2007 ","Music (Scoring)","NO","Michael Clayton"
"462","2007 ","Music (Scoring)","NO","Ratatouille"
"463","2007 ","Music (Scoring)","NO","3:10 to Yuma"
"464","2007 ","Music (Song)","YES","Once"
"465","2007 ","Music (Song)","NO","Enchanted"
"466","2007 ","Music (Song)","NO","August Rush"
"467","2007 ","Music (Song)","NO","Enchanted"
"468","2007 ","Music (Song)","NO","Enchanted"
"469","2007 ","Best Picture","NO","Atonement"
"470","2007 ","Best Picture","NO","Juno"
"471","2007 ","Best Picture","NO","Michael Clayton"
"472","2007 ","Best Picture","YES","No Country for Old Men"
"473","2007 ","Best Picture","NO","There Will Be Blood"
"484","2007 ","Sound","YES","The Bourne Ultimatum"
"485","2007 ","Sound","NO","No Country for Old Men"
"486","2007 ","Sound","NO","Ratatouille"
"487","2007 ","Sound","NO","3:10 to Yuma"
"488","2007 ","Sound","NO","Transformers"
"489","2007 ","Sound Editing","YES","The Bourne Ultimatum"
"490","2007 ","Sound Editing","NO","No Country for Old Men"
"491","2007 ","Sound Editing","NO","Ratatouille"
"492","2007 ","Sound Editing","NO","There Will Be Blood"
"493","2007 ","Sound Editing","NO","Transformers"
"494","2007 ","Visual Effects","YES","The Golden Compass"
"495","2007 ","Visual Effects","NO","Pirates of the Caribbean: At World's End"
"496","2007 ","Visual Effects","NO","Transformers"
"497","2007 ","Writing","NO","Atonement"
"498","2007 ","Writing","NO","Away from Her"
"499","2007 ","Writing","NO","The Diving Bell and the Butterfly"
"500","2007 ","Writing","YES","No Country for Old Men"
"501","2007 ","Writing","NO","There Will Be Blood"
"502","2007 ","Writing","YES","Juno"
"503","2007 ","Writing","NO","Lars and the Real Girl"
"504","2007 ","Writing","NO","Michael Clayton"
"505","2007 ","Writing","NO","Ratatouille"
"506","2007 ","Writing","NO","The Savages"
"521","2006 ","Actor -- Leading Role","NO","Blood Diamond "
"522","2006 ","Actor -- Leading Role","NO","Half Nelson "
"523","2006 ","Actor -- Leading Role","NO","Venus "
"524","2006 ","Actor -- Leading Role","NO","The Pursuit of Happyness "
"525","2006 ","Actor -- Leading Role","YES","The Last King of Scotland "
"526","2006 ","Actor -- Supporting Role","YES","Little Miss Sunshine "
"527","2006 ","Actor -- Supporting Role","NO","Little Children "
"528","2006 ","Actor -- Supporting Role","NO","Blood Diamond "
"529","2006 ","Actor -- Supporting Role","NO","Dreamgirls "
"530","2006 ","Actor -- Supporting Role","NO","The Departed "
"531","2006 ","Actress -- Leading Role","NO","Volver "
"532","2006 ","Actress -- Leading Role","NO","Notes on a Scandal "
"533","2006 ","Actress -- Leading Role","YES","The Queen "
"534","2006 ","Actress -- Leading Role","NO","The Devil Wears Prada "
"535","2006 ","Actress -- Leading Role","NO","Little Children "
"536","2006 ","Actress -- Supporting Role","NO","Babel "
"537","2006 ","Actress -- Supporting Role","NO","Notes on a Scandal "
"538","2006 ","Actress -- Supporting Role","NO","Little Miss Sunshine "
"539","2006 ","Actress -- Supporting Role","YES","Dreamgirls "
"540","2006 ","Actress -- Supporting Role","NO","Babel "
"544","2006 ","Art Direction","NO","Dreamgirls"
"545","2006 ","Art Direction","NO","The Good Shepherd"
"546","2006 ","Art Direction","YES","Pan's Labyrinth"
"547","2006 ","Art Direction","NO","Pirates of the Caribbean: Dead Man's Chest"
"548","2006 ","Art Direction","NO","The Prestige"
"549","2006 ","Cinematography","NO","The Black Dahlia"
"550","2006 ","Cinematography","NO","Children of Men"
"551","2006 ","Cinematography","NO","The Illusionist"
"552","2006 ","Cinematography","YES","Pan's Labyrinth"
"553","2006 ","Cinematography","NO","The Prestige"
"554","2006 ","Costume Design","NO","Curse of the Golden Flower"
"555","2006 ","Costume Design","NO","The Devil Wears Prada"
"556","2006 ","Costume Design","NO","Dreamgirls"
"557","2006 ","Costume Design","YES","Marie Antoinette"
"558","2006 ","Costume Design","NO","The Queen"
"559","2006 ","Directing","NO","Babel"
"560","2006 ","Directing","YES","The Departed"
"561","2006 ","Directing","NO","Letters from Iwo Jima"
"562","2006 ","Directing","NO","The Queen"
"563","2006 ","Directing","NO","United 93"
"573","2006 ","Film Editing","NO","Babel"
"574","2006 ","Film Editing","NO","Blood Diamond"
"575","2006 ","Film Editing","NO","Children of Men"
"576","2006 ","Film Editing","YES","The Departed"
"577","2006 ","Film Editing","NO","United 93"
"583","2006 ","Makeup","NO","Apocalypto"
"584","2006 ","Makeup","NO","Click"
"585","2006 ","Makeup","YES","Pan's Labyrinth"
"586","2006 ","Music (Scoring)","YES","Babel"
"587","2006 ","Music (Scoring)","NO","The Good German"
"588","2006 ","Music (Scoring)","NO","Notes on a Scandal"
"589","2006 ","Music (Scoring)","NO","Pan's Labyrinth"
"590","2006 ","Music (Scoring)","NO","The Queen"
"591","2006 ","Music (Song)","YES","An Inconvenient Truth"
"592","2006 ","Music (Song)","NO","Dreamgirls"
"593","2006 ","Music (Song)","NO","Dreamgirls"
"594","2006 ","Music (Song)","NO","Cars"
"595","2006 ","Music (Song)","NO","Dreamgirls"
"596","2006 ","Best Picture","NO","Babel"
"597","2006 ","Best Picture","YES","The Departed"
"598","2006 ","Best Picture","NO","Letters from Iwo Jima"
"599","2006 ","Best Picture","NO","Little Miss Sunshine"
"600","2006 ","Best Picture","NO","The Queen"
"611","2006 ","Sound","NO","Apocalypto"
"612","2006 ","Sound","NO","Blood Diamond"
"613","2006 ","Sound","YES","Dreamgirls"
"614","2006 ","Sound","NO","Flags of Our Fathers"
"615","2006 ","Sound","NO","Pirates of the Caribbean: Dead Man's Chest"
"616","2006 ","Sound Editing","NO","Apocalypto"
"617","2006 ","Sound Editing","NO","Blood Diamond"
"618","2006 ","Sound Editing","NO","Flags of Our Fathers"
"619","2006 ","Sound Editing","YES","Letters from Iwo Jima"
"620","2006 ","Sound Editing","NO","Pirates of the Caribbean: Dead Man's Chest"
"621","2006 ","Visual Effects","YES","Pirates of the Caribbean: Dead Man's Chest"
"622","2006 ","Visual Effects","NO","Poseidon"
"623","2006 ","Visual Effects","NO","Superman Returns"
"624","2006 ","Writing","NO","Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan"
"625","2006 ","Writing","NO","Children of Men"
"626","2006 ","Writing","YES","The Departed"
"627","2006 ","Writing","NO","Little Children"
"628","2006 ","Writing","NO","Notes on a Scandal"
"629","2006 ","Writing","NO","Babel"
"630","2006 ","Writing","NO","Letters from Iwo Jima"
"631","2006 ","Writing","YES","Little Miss Sunshine"
"632","2006 ","Writing","NO","Pan's Labyrinth"
"633","2006 ","Writing","NO","The Queen"
"651","2005 ","Actor -- Leading Role","YES","Capote "
"652","2005 ","Actor -- Leading Role","NO","Hustle & Flow "
"653","2005 ","Actor -- Leading Role","NO","Brokeback Mountain "
"654","2005 ","Actor -- Leading Role","NO","Walk the Line "
"655","2005 ","Actor -- Leading Role","NO","Good Night, and Good Luck. "
"656","2005 ","Actor -- Supporting Role","YES","Syriana "
"657","2005 ","Actor -- Supporting Role","NO","Crash "
"658","2005 ","Actor -- Supporting Role","NO","Cinderella Man "
"659","2005 ","Actor -- Supporting Role","NO","Brokeback Mountain "
"660","2005 ","Actor -- Supporting Role","NO","A History of Violence "
"661","2005 ","Actress -- Leading Role","NO","Mrs. Henderson Presents "
"662","2005 ","Actress -- Leading Role","NO","Transamerica "
"663","2005 ","Actress -- Leading Role","NO","Pride & Prejudice "
"664","2005 ","Actress -- Leading Role","NO","North Country "
"665","2005 ","Actress -- Leading Role","YES","Walk the Line "
"666","2005 ","Actress -- Supporting Role","NO","Junebug "
"667","2005 ","Actress -- Supporting Role","NO","Capote "
"668","2005 ","Actress -- Supporting Role","NO","North Country "
"669","2005 ","Actress -- Supporting Role","YES","The Constant Gardener "
"670","2005 ","Actress -- Supporting Role","NO","Brokeback Mountain "
"674","2005 ","Art Direction","NO","Good Night, and Good Luck."
"675","2005 ","Art Direction","NO","Harry Potter and the Goblet of Fire"
"676","2005 ","Art Direction","NO","King Kong"
"677","2005 ","Art Direction","YES","Memoirs of a Geisha"
"678","2005 ","Art Direction","NO","Pride & Prejudice"
"679","2005 ","Cinematography","NO","Batman Begins"
"680","2005 ","Cinematography","NO","Brokeback Mountain"
"681","2005 ","Cinematography","NO","Good Night, and Good Luck."
"682","2005 ","Cinematography","YES","Memoirs of a Geisha"
"683","2005 ","Cinematography","NO","The New World"
"684","2005 ","Costume Design","NO","Charlie and the Chocolate Factory"
"685","2005 ","Costume Design","YES","Memoirs of a Geisha"
"686","2005 ","Costume Design","NO","Mrs. Henderson Presents"
"687","2005 ","Costume Design","NO","Pride & Prejudice"
"688","2005 ","Costume Design","NO","Walk the Line"
"689","2005 ","Directing","YES","Brokeback Mountain"
"690","2005 ","Directing","NO","Capote"
"691","2005 ","Directing","NO","Crash"
"692","2005 ","Directing","NO","Good Night, and Good Luck."
"693","2005 ","Directing","NO","Munich"
"703","2005 ","Film Editing","NO","Cinderella Man"
"704","2005 ","Film Editing","NO","The Constant Gardener"
"705","2005 ","Film Editing","YES","Crash"
"706","2005 ","Film Editing","NO","Munich"
"707","2005 ","Film Editing","NO","Walk the Line"
"713","2005 ","Makeup","YES","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"714","2005 ","Makeup","NO","Cinderella Man"
"715","2005 ","Makeup","NO","Star Wars: Episode III Revenge of the Sith"
"716","2005 ","Music (Scoring)","YES","Brokeback Mountain"
"717","2005 ","Music (Scoring)","NO","The Constant Gardener"
"718","2005 ","Music (Scoring)","NO","Memoirs of a Geisha"
"719","2005 ","Music (Scoring)","NO","Munich"
"720","2005 ","Music (Scoring)","NO","Pride & Prejudice"
"721","2005 ","Music (Song)","NO","Crash"
"722","2005 ","Music (Song)","YES","Hustle & Flow"
"723","2005 ","Music (Song)","NO","Transamerica"
"724","2005 ","Best Picture","NO","Brokeback Mountain"
"725","2005 ","Best Picture","NO","Capote"
"726","2005 ","Best Picture","YES","Crash"
"727","2005 ","Best Picture","NO","Good Night, and Good Luck."
"728","2005 ","Best Picture","NO","Munich"
"739","2005 ","Sound","NO","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"740","2005 ","Sound","YES","King Kong"
"741","2005 ","Sound","NO","Memoirs of a Geisha"
"742","2005 ","Sound","NO","Walk the Line"
"743","2005 ","Sound","NO","War of the Worlds"
"744","2005 ","Sound Editing","YES","King Kong"
"745","2005 ","Sound Editing","NO","Memoirs of a Geisha"
"746","2005 ","Sound Editing","NO","War of the Worlds"
