"","Year","Award","Winner","Nominee"
"1","2010 ","Actor -- Leading Role","NO","Biutiful "
"2","2010 ","Actor -- Leading Role","NO","True Grit "
"3","2010 ","Actor -- Leading Role","NO","The Social Network "
"4","2010 ","Actor -- Leading Role","YES","The King's Speech "
"5","2010 ","Actor -- Leading Role","NO","127 Hours "
"6","2010 ","Actor -- Supporting Role","YES","The Fighter "
"7","2010 ","Actor -- Supporting Role","NO","Winter's Bone "
"8","2010 ","Actor -- Supporting Role","NO","The Town "
"9","2010 ","Actor -- Supporting Role","NO","The Kids Are All Right "
"10","2010 ","Actor -- Supporting Role","NO","The King's Speech "
"11","2010 ","Actress -- Leading Role","NO","The Kids Are All Right "
"12","2010 ","Actress -- Leading Role","NO","Rabbit Hole "
"13","2010 ","Actress -- Leading Role","NO","Winter's Bone "
"14","2010 ","Actress -- Leading Role","YES","Black Swan "
"15","2010 ","Actress -- Leading Role","NO","Blue Valentine "
"16","2010 ","Actress -- Supporting Role","NO","The Fighter "
"17","2010 ","Actress -- Supporting Role","NO","The King's Speech "
"18","2010 ","Actress -- Supporting Role","YES","The Fighter "
"19","2010 ","Actress -- Supporting Role","NO","True Grit "
"20","2010 ","Actress -- Supporting Role","NO","Animal Kingdom "
"24","2010 ","Art Direction","YES","207"
"25","2010 ","Art Direction","NO","1609"
"26","2010 ","Art Direction","NO","1816"
"27","2010 ","Art Direction","NO","4095"
"28","2010 ","Art Direction","NO","5684"
"29","2010 ","Cinematography","NO","534"
"30","2010 ","Cinematography","YES","1816"
"31","2010 ","Cinematography","NO","4095"
"32","2010 ","Cinematography","NO","4436"
"33","2010 ","Cinematography","NO","5684"
"34","2010 ","Costume Design","YES","207"
"35","2010 ","Costume Design","NO","1759"
"36","2010 ","Costume Design","NO","4095"
"37","2010 ","Costume Design","NO","4487"
"38","2010 ","Costume Design","NO","5684"
"39","2010 ","Directing","NO","534"
"40","2010 ","Directing","NO","3932"
"41","2010 ","Directing","YES","4095"
"42","2010 ","Directing","NO","4436"
"43","2010 ","Directing","NO","5684"
"54","2010 ","Film Editing","NO","534"
"55","2010 ","Film Editing","NO","3932"
"56","2010 ","Film Editing","NO","4095"
"57","2010 ","Film Editing","NO","13"
"58","2010 ","Film Editing","YES","4436"
"64","2010 ","Makeup","NO","425"
"65","2010 ","Makeup","NO","4553"
"66","2010 ","Makeup","YES","4579"
"67","2010 ","Music (Scoring)","NO","1732"
"68","2010 ","Music (Scoring)","NO","1816"
"69","2010 ","Music (Scoring)","NO","4095"
"70","2010 ","Music (Scoring)","NO","13"
"71","2010 ","Music (Scoring)","YES","4436"
"72","2010 ","Music (Song)","NO","902"
"73","2010 ","Music (Song)","NO","3607"
"74","2010 ","Music (Song)","NO","13"
"75","2010 ","Music (Song)","YES","5653"
"76","2010 ","Best Picture","NO","534"
"77","2010 ","Best Picture","NO","3932"
"78","2010 ","Best Picture","NO","1816"
"79","2010 ","Best Picture","NO","4091"
"80","2010 ","Best Picture","YES","4095"
"81","2010 ","Best Picture","NO","13"
"82","2010 ","Best Picture","NO","4436"
"83","2010 ","Best Picture","NO","5653"
"84","2010 ","Best Picture","NO","5684"
"85","2010 ","Best Picture","NO","5926"
"96","2010 ","Sound","YES","1816"
"97","2010 ","Sound","NO","4095"
"98","2010 ","Sound","NO","3210"
"99","2010 ","Sound","NO","4436"
"100","2010 ","Sound","NO","5684"
"101","2010 ","Sound Editing","YES","1816"
"102","2010 ","Sound Editing","NO","5653"
"103","2010 ","Sound Editing","NO","5677"
"104","2010 ","Sound Editing","NO","5684"
"105","2010 ","Sound Editing","NO","5736"
"106","2010 ","Visual Effects","NO","207"
"107","2010 ","Visual Effects","NO","1609"
"108","2010 ","Visual Effects","NO","1662"
"109","2010 ","Visual Effects","YES","1816"
"110","2010 ","Visual Effects","NO","1849"
"111","2010 ","Writing","NO","13"
"112","2010 ","Writing","YES","4436"
"113","2010 ","Writing","NO","5653"
"114","2010 ","Writing","NO","5684"
"115","2010 ","Writing","NO","5926"
"116","2010 ","Writing","NO","310"
"117","2010 ","Writing","NO","3932"
"118","2010 ","Writing","NO","1816"
"119","2010 ","Writing","NO","4091"
"120","2010 ","Writing","YES","4095"
"136","2009 ","Actor -- Leading Role","YES","Crazy Heart "
"137","2009 ","Actor -- Leading Role","NO","Up in the Air "
"138","2009 ","Actor -- Leading Role","NO","A Single Man "
"139","2009 ","Actor -- Leading Role","NO","Invictus "
"140","2009 ","Actor -- Leading Role","NO","The Hurt Locker "
"141","2009 ","Actor -- Supporting Role","NO","Invictus "
"142","2009 ","Actor -- Supporting Role","NO","The Messenger "
"143","2009 ","Actor -- Supporting Role","NO","The Last Station "
"144","2009 ","Actor -- Supporting Role","NO","The Lovely Bones "
"145","2009 ","Actor -- Supporting Role","YES","Inglourious Basterds "
"146","2009 ","Actress -- Leading Role","YES","The Blind Side "
"147","2009 ","Actress -- Leading Role","NO","The Last Station "
"148","2009 ","Actress -- Leading Role","NO","An Education "
"149","2009 ","Actress -- Leading Role","NO","Precious: Based on the Novel 'Push' by Sapphire "
"150","2009 ","Actress -- Leading Role","NO","Julie & Julia "
"151","2009 ","Actress -- Supporting Role","NO","Nine "
"152","2009 ","Actress -- Supporting Role","NO","Up in the Air "
"153","2009 ","Actress -- Supporting Role","NO","Crazy Heart "
"154","2009 ","Actress -- Supporting Role","NO","Up in the Air "
"155","2009 ","Actress -- Supporting Role","YES","Precious: Based on the Novel 'Push' by Sapphire "
"161","2009 ","Art Direction","YES","381"
"162","2009 ","Art Direction","NO","4066"
"163","2009 ","Art Direction","NO","2708"
"164","2009 ","Art Direction","NO","3327"
"165","2009 ","Art Direction","NO","4594"
"166","2009 ","Cinematography","YES","381"
"167","2009 ","Cinematography","NO","1611"
"168","2009 ","Cinematography","NO","4063"
"169","2009 ","Cinematography","NO","1823"
"170","2009 ","Cinematography","NO","4563"
"171","2009 ","Costume Design","NO","627"
"172","2009 ","Costume Design","NO","867"
"173","2009 ","Costume Design","NO","4066"
"174","2009 ","Costume Design","NO","2708"
"175","2009 ","Costume Design","YES","4594"
"176","2009 ","Directing","NO","381"
"177","2009 ","Directing","YES","4063"
"178","2009 ","Directing","NO","1823"
"179","2009 ","Directing","NO","2964"
"180","2009 ","Directing","NO","5742"
"191","2009 ","Film Editing","NO","381"
"192","2009 ","Film Editing","NO","1071"
"193","2009 ","Film Editing","YES","4063"
"194","2009 ","Film Editing","NO","1823"
"195","2009 ","Film Editing","NO","2964"
"201","2009 ","Makeup","NO","1786"
"202","2009 ","Makeup","YES","3487"
"203","2009 ","Makeup","NO","4594"
"204","2009 ","Music (Scoring)","NO","381"
"205","2009 ","Music (Scoring)","NO","1267"
"206","2009 ","Music (Scoring)","NO","4063"
"207","2009 ","Music (Scoring)","NO","3327"
"208","2009 ","Music (Scoring)","YES","5738"
"209","2009 ","Music (Song)","NO","4325"
"210","2009 ","Music (Song)","NO","4325"
"211","2009 ","Music (Song)","NO","2857"
"212","2009 ","Music (Song)","NO","2708"
"213","2009 ","Music (Song)","YES","916"
"214","2009 ","Best Picture","NO","381"
"215","2009 ","Best Picture","NO","3747"
"216","2009 ","Best Picture","NO","1071"
"217","2009 ","Best Picture","NO","260"
"218","2009 ","Best Picture","YES","4063"
"219","2009 ","Best Picture","NO","1823"
"220","2009 ","Best Picture","NO","2964"
"221","2009 ","Best Picture","NO","106"
"222","2009 ","Best Picture","NO","5738"
"223","2009 ","Best Picture","NO","5742"
"234","2009 ","Sound","NO","381"
"235","2009 ","Sound","YES","4063"
"236","2009 ","Sound","NO","1823"
"237","2009 ","Sound","NO","3487"
"238","2009 ","Sound","NO","5666"
"239","2009 ","Sound Editing","NO","381"
"240","2009 ","Sound Editing","YES","4063"
"241","2009 ","Sound Editing","NO","1823"
"242","2009 ","Sound Editing","NO","3487"
"243","2009 ","Sound Editing","NO","5738"
"244","2009 ","Visual Effects","YES","381"
"245","2009 ","Visual Effects","NO","1071"
"246","2009 ","Visual Effects","NO","3487"
"247","2009 ","Writing","NO","1071"
"248","2009 ","Writing","NO","260"
"249","2009 ","Writing","NO","1805"
"250","2009 ","Writing","YES","2964"
"251","2009 ","Writing","NO","5742"
"252","2009 ","Writing","YES","4063"
"253","2009 ","Writing","NO","1823"
"254","2009 ","Writing","NO","4209"
"255","2009 ","Writing","NO","106"
"256","2009 ","Writing","NO","5738"
"276","2008 ","Actor -- Leading Role","NO","The Visitor "
"277","2008 ","Actor -- Leading Role","NO","Frost/Nixon "
"278","2008 ","Actor -- Leading Role","YES","Milk "
"279","2008 ","Actor -- Leading Role","NO","The Curious Case of Benjamin Button "
"280","2008 ","Actor -- Leading Role","NO","The Wrestler "
"281","2008 ","Actor -- Supporting Role","NO","Milk "
"282","2008 ","Actor -- Supporting Role","NO","Tropic Thunder "
"283","2008 ","Actor -- Supporting Role","NO","Doubt "
"284","2008 ","Actor -- Supporting Role","YES","The Dark Knight "
"285","2008 ","Actor -- Supporting Role","NO","Revolutionary Road "
"286","2008 ","Actress -- Leading Role","NO","Rachel Getting Married "
"287","2008 ","Actress -- Leading Role","NO","Changeling "
"288","2008 ","Actress -- Leading Role","NO","Frozen River "
"289","2008 ","Actress -- Leading Role","NO","Doubt "
"290","2008 ","Actress -- Leading Role","YES","The Reader "
"291","2008 ","Actress -- Supporting Role","NO","Doubt "
"292","2008 ","Actress -- Supporting Role","YES","Vicky Cristina Barcelona "
"293","2008 ","Actress -- Supporting Role","NO","Doubt "
"294","2008 ","Actress -- Supporting Role","NO","The Curious Case of Benjamin Button "
"295","2008 ","Actress -- Supporting Role","NO","The Wrestler "
"299","2008 ","Art Direction","NO","764"
"300","2008 ","Art Direction","YES","3849"
"301","2008 ","Art Direction","NO","3855"
"302","2008 ","Art Direction","NO","3894"
"303","2008 ","Art Direction","NO","3083"
"304","2008 ","Cinematography","NO","764"
"305","2008 ","Cinematography","NO","3849"
"306","2008 ","Cinematography","NO","3855"
"307","2008 ","Cinematography","NO","4353"
"308","2008 ","Cinematography","YES","3386"
"309","2008 ","Costume Design","NO","375"
"310","2008 ","Costume Design","NO","3849"
"311","2008 ","Costume Design","YES","3894"
"312","2008 ","Costume Design","NO","2544"
"313","2008 ","Costume Design","NO","3083"
"314","2008 ","Directing","NO","3849"
"315","2008 ","Directing","NO","1399"
"316","2008 ","Directing","NO","2544"
"317","2008 ","Directing","NO","4353"
"318","2008 ","Directing","YES","3386"
"328","2008 ","Film Editing","NO","3849"
"329","2008 ","Film Editing","NO","3855"
"330","2008 ","Film Editing","NO","1399"
"331","2008 ","Film Editing","NO","2544"
"332","2008 ","Film Editing","YES","3386"
"338","2008 ","Makeup","YES","3849"
"339","2008 ","Makeup","NO","3855"
"340","2008 ","Makeup","NO","1643"
"341","2008 ","Music (Scoring)","NO","3849"
"342","2008 ","Music (Scoring)","NO","1026"
"343","2008 ","Music (Scoring)","NO","2544"
"344","2008 ","Music (Scoring)","YES","3386"
"345","2008 ","Music (Scoring)","NO","5797"
"346","2008 ","Music (Song)","NO","5797"
"347","2008 ","Music (Song)","YES","3386"
"348","2008 ","Music (Song)","NO","3386"
"349","2008 ","Best Picture","NO","3849"
"350","2008 ","Best Picture","NO","1399"
"351","2008 ","Best Picture","NO","2544"
"352","2008 ","Best Picture","NO","4353"
"353","2008 ","Best Picture","YES","3386"
"364","2008 ","Sound","NO","3849"
"365","2008 ","Sound","NO","3855"
"366","2008 ","Sound","YES","3386"
"367","2008 ","Sound","NO","5797"
"368","2008 ","Sound","NO","5811"
"369","2008 ","Sound Editing","YES","3855"
"370","2008 ","Sound Editing","NO","1848"
"371","2008 ","Sound Editing","NO","3386"
