"","Year","pictures","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"90",1948,"The Naked City","0","1","0","0","0","0","0","0","0"
"91",1948,"The Paleface","0","0","0","0","0","0","0","0","1"
"92",1948,"The Snake Pit","0","0","0","0","0","0","0","1","0"
"93",1948,"The Treasure of the Sierra Madre","0","0","1","0","1","0","0","0","0"
"94",1949,"A Letter to Three Wives","0","0","1","0","0","0","0","0","0"
"95",1949,"All the King's Men","1","0","0","1","0","0","1","0","0"
"96",1949,"Champion","0","1","0","0","0","0","0","0","0"
"97",1949,"Neptune's Daughter","0","0","0","0","0","0","0","0","1"
"98",1949,"The Heiress","0","0","0","0","0","1","0","0","0"
"99",1949,"Twelve O'Clock High","0","0","0","0","1","0","0","1","0"
"100",1950,"All about Eve","1","0","1","0","1","0","0","1","0"
"101",1950,"Born Yesterday","0","0","0","0","0","1","0","0","0"
"102",1950,"Captain Carey, U.S.A.","0","0","0","0","0","0","0","0","1"
"103",1950,"Cyrano de Bergerac","0","0","0","1","0","0","0","0","0"
"104",1950,"Harvey","0","0","0","0","0","0","1","0","0"
"105",1950,"King Solomon's Mines","0","1","0","0","0","0","0","0","0"
"106",1951,"A Place in the Sun","0","1","1","0","0","0","0","0","0"
"107",1951,"A Streetcar Named Desire","0","0","0","0","1","1","1","0","0"
"108",1951,"An American in Paris","1","0","0","0","0","0","0","0","0"
"109",1951,"Here Comes the Groom","0","0","0","0","0","0","0","0","1"
"110",1951,"The African Queen","0","0","0","1","0","0","0","0","0"
"111",1951,"The Great Caruso","0","0","0","0","0","0","0","1","0"
"112",1952,"Breaking the Sound Barrier","0","0","0","0","0","0","0","1","0"
"113",1952,"Come Back, Little Sheba","0","0","0","0","0","1","0","0","0"
"114",1952,"High Noon","0","1","0","1","0","0","0","0","1"
"115",1952,"The Bad and the Beautiful","0","0","0","0","0","0","1","0","0"
"116",1952,"The Greatest Show on Earth","1","0","0","0","0","0","0","0","0"
"117",1952,"The Quiet Man","0","0","1","0","0","0","0","0","0"
"118",1952,"Viva Zapata!","0","0","0","0","1","0","0","0","0"
"119",1953,"Calamity Jane","0","0","0","0","0","0","0","0","1"
"120",1953,"From Here to Eternity","1","1","1","0","1","0","1","1","0"
"121",1953,"Roman Holiday","0","0","0","0","0","1","0","0","0"
"122",1953,"Stalag 17","0","0","0","1","0","0","0","0","0"
"123",1954,"On the Waterfront","1","1","1","1","0","0","1","0","0"
"124",1954,"The Barefoot Contessa","0","0","0","0","1","0","0","0","0"
"125",1954,"The Country Girl","0","0","0","0","0","1","0","0","0"
"126",1954,"The Glenn Miller Story","0","0","0","0","0","0","0","1","0"
"127",1954,"Three Coins in the Fountain","0","0","0","0","0","0","0","0","1"
"128",1955,"East of Eden","0","0","0","0","0","0","1","0","0"
"129",1955,"Love Is a Many-Splendored Thing","0","0","0","0","0","0","0","0","1"
"130",1955,"Marty","1","0","1","1","0","0","0","0","0"
"131",1955,"Mister Roberts","0","0","0","0","1","0","0","0","0"
"132",1955,"Oklahoma!","0","0","0","0","0","0","0","1","0"
"133",1955,"Picnic","0","1","0","0","0","0","0","0","0"
"134",1955,"The Rose Tattoo","0","0","0","0","0","1","0","0","0"
"135",1956,"Anastasia","0","0","0","0","0","1","0","0","0"
"136",1956,"Around the World in 80 Days","1","1","0","0","0","0","0","0","0"
"137",1956,"Giant","0","0","1","0","0","0","0","0","0"
"138",1956,"Lust for Life","0","0","0","0","1","0","0","0","0"
"139",1956,"The King and I","0","0","0","1","0","0","0","1","0"
"140",1956,"The Man Who Knew Too Much","0","0","0","0","0","0","0","0","1"
"141",1956,"Written on the Wind","0","0","0","0","0","0","1","0","0"
"142",1957,"Sayonara","0","0","0","0","1","0","1","1","0"
"143",1957,"The Bridge on the River Kwai","1","1","1","1","0","0","0","0","0"
"144",1957,"The Joker Is Wild","0","0","0","0","0","0","0","0","1"
"145",1957,"The Three Faces of Eve","0","0","0","0","0","1","0","0","0"
"146",1958,"Gigi","1","1","1","0","0","0","0","0","1"
"147",1958,"I Want to Live!","0","0","0","0","0","1","0","0","0"
"148",1958,"Separate Tables","0","0","0","1","0","0","1","0","0"
"149",1958,"South Pacific","0","0","0","0","0","0","0","1","0"
